title,company,location,link
"드론 데이터 스타트업, 엔젤스윙 엔지니어",엔젤스윙,서울 관악구,https://kr.indeed.com/viewjob?jk=d017610d9828199c
챗봇 플랫폼 개발자,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=20d40ee61adffeca
정산 및 재무서비스 개발자,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=2d1342226996073d
데이터연동개발팀 - 데이터엔지니어,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=83afcd111984f51c
추천 시스템 연구/개발,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=be6c1f03fa566f8e
"Principal, Strategic Planning",Coupang,서울,https://kr.indeed.com/viewjob?jk=8b29e16a2f9665f2
Senior Full-Stack Developer,Asiance,서울,https://kr.indeed.com/viewjob?jk=dcbce45dbe2d3679
Developer Advocate,SendBird,서울,https://kr.indeed.com/viewjob?jk=dc821489255954fd
8퍼센트 개발자 (신입/경력),8퍼센트,서울 종로구,https://kr.indeed.com/viewjob?jk=8af26b37623864c4
Engineer II - Test GSO,"Advanced Energy Industries, Inc",서울,https://kr.indeed.com/viewjob?jk=962ccc68c40fa2d8
Web 개발(이커머스 파트)_PHP/CodeIgniter/Javascript,버드뷰,서울 마포구,https://kr.indeed.com/viewjob?jk=3292e81e43884c67
Senior Application Engineer - Technical Computing and AI,MathWorks,서울,https://kr.indeed.com/viewjob?jk=66520543e9bb139c
8퍼센트 경력 개발자,8퍼센트,서울 종로구,https://kr.indeed.com/viewjob?jk=464ef95516a5fa5c
이탈방지팀-서비스 개발자,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=691f61972f31c777
데이터 플랫폼 개발,NHN PAYCO,성남 판교역,https://kr.indeed.com/viewjob?jk=a65baa1929f29393
[대기업]System Architecture(시스템 엔지니어)대리 ~ 차장급,인코리아,서울,https://kr.indeed.com/viewjob?jk=7e69dab7e1907f0c
추천 시스템 소프트웨어 엔지니어,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=07375dc4e800dfa9
"Specialist Solutions Architect III, Analytics",Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=604de7caa5f65310
Cross Border Ecommerce - Business Intelligence (Based in Seoul),Shopee,서울,https://kr.indeed.com/viewjob?jk=b574f1454ae36aab
머신러닝/딥러닝,NHN,성남 판교역,https://kr.indeed.com/viewjob?jk=cd8ee27085e6a2ff
